stop_mode,target_rr,trail_mode,entry_end_min,relvol_min,rsi_filter,macd_filter,full_ret,train_ret,train_pf,val_ret,val_pf,optimistic_ret
pullback_low,3.0,none,930,1.7,False,True,9.560621272294023,9.046913241531595,1.5271219746369076,0.4710890161784054,1.0707739778517384,9.560621272294023
pullback_low,3.0,none,930,1.7,True,True,9.162161791103852,7.815405789855645,1.4734927157598794,1.249131319760699,1.159119068431442,9.162161791103852
pct,2.0,none,930,1.7,True,True,8.722792282586722,9.22116851899677,1.3821382917960778,-0.456300040704416,0.9931987264657607,8.722792282586722
pullback_low,3.0,none,930,1.7,False,True,7.653656435667888,8.272246483187429,1.3502647964767072,-0.5713283575542683,0.9716397195453923,7.653656435667888
pct,2.0,none,930,1.3,True,True,7.157555566571627,6.374467539931583,1.1332006531047756,0.7361616417455252,1.0390493309832722,7.157555566571627
