stage,run,window,overrides,total_return,cagr,sharpe,max_drawdown,profit_multiple_vs_spy,n_trades,win_rate,avg_R,profit_factor,avg_exposure,n_triggered,elapsed_s
exits,"{""exit.target_R"": 2.0, ""exit.trail_ma"": 50, ""exit.breakeven_",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 2.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02}",0.511,0.0323,0.34,-0.3226,0.317,403,0.3524,0.061,1.128,0.4233,403,0.2
exits,"{""exit.target_R"": 2.0, ""exit.trail_ma"": 50, ""exit.breakeven_",IS,"{""exit.breakeven_at_R"": 1.0, ""exit.target_R"": 2.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02}",0.5796,0.0358,0.388,-0.3128,0.359,416,0.2885,0.067,1.163,0.3981,416,0.2
exits,"{""exit.target_R"": 3.0, ""exit.trail_ma"": 20, ""exit.breakeven_",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 3.0, ""exit.trail_ma"": 20, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02}",0.264,0.0182,0.22,-0.3867,0.164,418,0.3565,0.045,1.073,0.3754,418,0.2
exits,"{""exit.target_R"": 3.0, ""exit.trail_ma"": 20, ""exit.breakeven_",IS,"{""exit.breakeven_at_R"": 1.0, ""exit.target_R"": 3.0, ""exit.trail_ma"": 20, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02}",0.3386,0.0227,0.268,-0.3603,0.21,423,0.3097,0.046,1.102,0.367,423,0.2
exits,"{""exit.target_R"": 3.0, ""exit.trail_ma"": 50, ""exit.breakeven_",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 3.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02}",0.5452,0.0341,0.338,-0.3538,0.338,369,0.3198,0.09,1.13,0.4765,369,0.2
exits,"{""exit.target_R"": 3.0, ""exit.trail_ma"": 50, ""exit.breakeven_",IS,"{""exit.breakeven_at_R"": 1.0, ""exit.target_R"": 3.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02}",0.7149,0.0424,0.424,-0.3256,0.443,376,0.2527,0.092,1.203,0.4471,376,0.2
screen,"{""tt.rs_percentile_min"": 70.0, ""universe.min_dollar_volume"":",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02, ""tt.rs_percentile_min"": 70.0, ""universe.min_dollar_volume"": 2000000.0}",1.2985,0.0661,0.519,-0.3187,0.805,286,0.3531,0.207,1.358,0.5654,286,0.2
screen,"{""tt.rs_percentile_min"": 70.0, ""universe.min_dollar_volume"":",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02, ""tt.rs_percentile_min"": 70.0, ""universe.min_dollar_volume"": 10000000.0}",0.2388,0.0166,0.197,-0.395,0.148,237,0.3122,0.038,1.096,0.4515,237,0.7
screen,"{""tt.rs_percentile_min"": 80.0, ""universe.min_dollar_volume"":",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02, ""tt.rs_percentile_min"": 80.0, ""universe.min_dollar_volume"": 2000000.0}",0.0485,0.0037,0.092,-0.442,0.03,223,0.3274,0.036,1.022,0.4208,223,2.6
screen,"{""tt.rs_percentile_min"": 80.0, ""universe.min_dollar_volume"":",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02, ""tt.rs_percentile_min"": 80.0, ""universe.min_dollar_volume"": 10000000.0}",0.0757,0.0056,0.106,-0.3913,0.047,154,0.3442,0.009,1.046,0.3038,154,0.1
screen,"{""tt.rs_percentile_min"": 90.0, ""universe.min_dollar_volume"":",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02, ""tt.rs_percentile_min"": 90.0, ""universe.min_dollar_volume"": 2000000.0}",-0.0804,-0.0064,-0.027,-0.2809,-0.05,99,0.303,0.013,0.918,0.1972,99,2.5
screen,"{""tt.rs_percentile_min"": 90.0, ""universe.min_dollar_volume"":",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02, ""tt.rs_percentile_min"": 90.0, ""universe.min_dollar_volume"": 10000000.0}",0.115,0.0084,0.154,-0.1806,0.071,59,0.3559,0.186,1.194,0.1296,59,0.1
vcp_shape,"{""vcp.contraction_ratio_max"": 0.6, ""vcp.final_depth_max"": 0.",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02, ""vcp.contraction_ratio_max"": 0.6, ""vcp.final_depth_max"": 0.08, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 0.7}",-0.0349,-0.0027,0.014,-0.3108,-0.022,131,0.2595,-0.062,0.97,0.2496,131,12.3
vcp_shape,"{""vcp.contraction_ratio_max"": 0.6, ""vcp.final_depth_max"": 0.",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02, ""vcp.contraction_ratio_max"": 0.6, ""vcp.final_depth_max"": 0.08, ""vcp.min_contractions"": 3, ""vcp.vdu_ratio_max"": 0.7}",-0.2185,-0.0188,-0.588,-0.2319,-0.135,33,0.1818,-0.627,0.189,0.0479,33,9.4
vcp_shape,"{""vcp.contraction_ratio_max"": 0.6, ""vcp.final_depth_max"": 0.",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02, ""vcp.contraction_ratio_max"": 0.6, ""vcp.final_depth_max"": 0.08, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 0.85}",0.3345,0.0225,0.246,-0.2302,0.207,211,0.3033,0.071,1.185,0.4101,211,11.9
vcp_shape,"{""vcp.contraction_ratio_max"": 0.6, ""vcp.final_depth_max"": 0.",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02, ""vcp.contraction_ratio_max"": 0.6, ""vcp.final_depth_max"": 0.08, ""vcp.min_contractions"": 3, ""vcp.vdu_ratio_max"": 0.85}",-0.1401,-0.0115,-0.206,-0.1822,-0.087,47,0.2553,-0.255,0.605,0.0831,47,9.7
vcp_shape,"{""vcp.contraction_ratio_max"": 0.6, ""vcp.final_depth_max"": 0.",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02, ""vcp.contraction_ratio_max"": 0.6, ""vcp.final_depth_max"": 0.08, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 1.2}",0.7725,0.045,0.397,-0.3042,0.479,268,0.306,0.167,1.306,0.526,268,12.9
vcp_shape,"{""vcp.contraction_ratio_max"": 0.6, ""vcp.final_depth_max"": 0.",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02, ""vcp.contraction_ratio_max"": 0.6, ""vcp.final_depth_max"": 0.08, ""vcp.min_contractions"": 3, ""vcp.vdu_ratio_max"": 1.2}",-0.2402,-0.0209,-0.311,-0.2774,-0.149,70,0.2143,-0.286,0.519,0.1217,70,10.0
vcp_shape,"{""vcp.contraction_ratio_max"": 0.6, ""vcp.final_depth_max"": 0.",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02, ""vcp.contraction_ratio_max"": 0.6, ""vcp.final_depth_max"": 0.12, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 0.7}",-0.2101,-0.018,-0.134,-0.3734,-0.13,153,0.2484,-0.137,0.834,0.2751,153,12.9
vcp_shape,"{""vcp.contraction_ratio_max"": 0.6, ""vcp.final_depth_max"": 0.",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02, ""vcp.contraction_ratio_max"": 0.6, ""vcp.final_depth_max"": 0.12, ""vcp.min_contractions"": 3, ""vcp.vdu_ratio_max"": 0.7}",-0.2307,-0.02,-0.62,-0.2438,-0.143,34,0.1765,-0.638,0.181,0.048,34,9.4
vcp_shape,"{""vcp.contraction_ratio_max"": 0.6, ""vcp.final_depth_max"": 0.",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02, ""vcp.contraction_ratio_max"": 0.6, ""vcp.final_depth_max"": 0.12, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 0.85}",0.2904,0.0198,0.215,-0.2534,0.18,230,0.313,0.074,1.156,0.439,230,11.8
vcp_shape,"{""vcp.contraction_ratio_max"": 0.6, ""vcp.final_depth_max"": 0.",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02, ""vcp.contraction_ratio_max"": 0.6, ""vcp.final_depth_max"": 0.12, ""vcp.min_contractions"": 3, ""vcp.vdu_ratio_max"": 0.85}",-0.1662,-0.0139,-0.253,-0.1957,-0.103,49,0.2449,-0.286,0.56,0.0836,49,9.8
vcp_shape,"{""vcp.contraction_ratio_max"": 0.6, ""vcp.final_depth_max"": 0.",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02, ""vcp.contraction_ratio_max"": 0.6, ""vcp.final_depth_max"": 0.12, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 1.2}",0.6281,0.0382,0.327,-0.2689,0.389,286,0.3252,0.182,1.223,0.5568,286,11.4
