n_trades,win_rate,profit_factor,expectancy_pct,avg_win_pct,avg_loss_pct,total_return_pct,ann_return_pct,max_dd_pct,sharpe,avg_bars_held,score,timeframe,require_above_vwap,momentum_mode,momentum_lookback,momentum_min_gain_atr,hod_dist_atr,hod_day_gain_atr,relvol_min,pullback_def,min_pullback_bars,max_pullback_bars,pullback_hold_ema,max_retrace_atr,market_filter,in_play_filter,in_play_gain_adr,in_play_relvol,rsi_filter,rsi_min,rsi_max,macd_filter,macd_rising,stop_mode,stop_atr_mult,stop_pct,stop_cap_pct,target_mode,target_rr,target_pct,trail_mode,trail_atr_mult,trail_pct,trail_activate_rr,entry_start_min,entry_end_min,eod_exit_min,intrabar,sizing_mode,risk_per_trade_pct,pos_leverage_cap,max_concurrent
77,31.16883116883117,1.0993058616817208,0.02753614717886525,0.9779717668351385,-0.40284979379756036,-4.1069700774177935,-45.78857770872592,-13.86230645898054,-1.160171128928875,6.714285714285714,-11.038123306908062,1m,True,surge,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
77,37.66233766233766,1.0557066736490386,0.013734939092778045,0.6911232534504052,-0.39552050083162166,-4.700690364884286,-50.48800608056552,-10.400727358042802,-2.014412553508083,4.896103896103896,-9.901054043905688,1m,True,surge,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
144,38.888888888888886,0.9117126661162334,-0.018810115194163677,0.4994885147748551,-0.34863651608353935,-4.707331950346994,-50.538360718818765,-8.253087394613312,-2.4657647914403897,13.333333333333334,-28.83387564765365,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,pessimistic,risk,1.0,2.0,4
77,38.96103896103896,1.009025289605523,0.0027769453444867966,0.7968520739095168,-0.5040795196970217,-4.918621706746529,-52.11562297396737,-11.858375756984513,-2.151806174373155,6.9480519480519485,-10.847809585238785,1m,True,surge,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
80,50.0,0.9755965968663632,-0.0049486669849427315,0.3956745412184276,-0.40557187518831306,-4.964273997078084,-52.45020021551918,-10.126862540907966,-3.327772287111363,3.0875,-30.027705267532067,1m,True,surge,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,1.0,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
110,36.36363636363637,0.9466995950540642,-0.01834822503767503,0.8962072123946182,-0.5409513321418427,-4.9841582757238605,-52.595246530081205,-10.572609805987597,-1.059547449403796,37.59090909090909,-30.27046317871766,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pct,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,pessimistic,risk,1.0,2.0,4
43,39.53488372093023,0.7333515540505944,-0.0654739902922991,0.45547181078266213,-0.40609239868746605,-5.020486307353855,-54.313415121531165,-6.218789565129319,-3.562149084726924,6.8604651162790695,-31.629881089918513,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,3.0,1.0,pct,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
151,45.033112582781456,0.9543607606115847,-0.008543782436730481,0.3967275789451357,-0.34057333152066904,-5.144999599070088,-53.753447741455005,-7.547499053116494,-2.651672782086921,7.258278145695364,-28.918749125628334,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,930,955,pessimistic,risk,1.0,2.0,4
41,39.02439024390244,0.7883626888842108,-0.07228553334101764,0.6899999999999994,-0.5601482746792685,-6.045957604857599,-61.26625878813714,-8.312944834853898,-4.216621003159329,15.0,-34.702430022284545,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pct,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
43,48.83720930232558,0.747732824902471,-0.07249662907414295,0.4399999999999996,-0.5616979568267335,-6.251489467708716,-62.53507293715914,-6.720421980964615,-5.475410069593278,11.325581395348838,-33.111700458191024,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pct,1.0,0.5,1.5,rr,1.0,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
40,50.0,0.7044397048308677,-0.0785383845783216,0.3743774610766738,-0.531454230233317,-6.287346408929617,-62.75241095161377,-6.55128890416424,-4.270075210560156,14.125,-34.56299086101174,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pct,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
46,41.30434782608695,0.662426366336509,-0.08048320442043702,0.38236539599422187,-0.40619147878630807,-6.6647254475792455,-64.96947198850678,-7.508106568004466,-5.520957836984374,5.565217391304348,-32.41877873158148,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
75,32.0,0.9684237211642017,-0.010838686528575966,1.03879810330872,-0.5047854111578918,-6.692282096899138,-63.62554556023872,-14.80068997105245,-2.8369125400036026,14.946666666666667,-34.092627082425366,1m,True,surge,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
46,43.47826086956522,0.6377945785849706,-0.08504898031672989,0.34444733102291614,-0.4154307582703038,-7.045590613242025,-67.08153926766805,-7.885530221423476,-6.39555103724483,5.326086956521739,-32.98835572395376,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,pct,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
