stage,run,window,overrides,total_return,cagr,sharpe,max_drawdown,profit_multiple_vs_spy,n_trades,win_rate,avg_R,profit_factor,avg_exposure,n_triggered,elapsed_s
vcp_shape,"{""vcp.min_contractions"": 2, ""vcp.final_depth_max"": 0.1, ""vcp",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.1, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 1.0}",1.134,0.0601,0.501,-0.3866,0.703,968,0.2841,0.135,1.183,0.7196,968,16.7
vcp_shape,"{""vcp.min_contractions"": 3, ""vcp.final_depth_max"": 0.06, ""vc",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.vdu_ratio_max"": 0.7}",0.2748,0.0189,0.254,-0.2086,0.17,452,0.25,0.092,1.12,0.3471,452,12.1
vcp_shape,"{""vcp.min_contractions"": 3, ""vcp.final_depth_max"": 0.06, ""vc",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.vdu_ratio_max"": 0.7}",0.3163,0.0214,0.266,-0.2126,0.196,549,0.2514,0.085,1.124,0.4281,549,13.1
vcp_shape,"{""vcp.min_contractions"": 3, ""vcp.final_depth_max"": 0.06, ""vc",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.vdu_ratio_max"": 1.0}",1.3818,0.0691,0.647,-0.2541,0.856,756,0.2989,0.175,1.282,0.595,756,12.6
vcp_shape,"{""vcp.min_contractions"": 3, ""vcp.final_depth_max"": 0.06, ""vc",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.vdu_ratio_max"": 1.0}",0.7728,0.045,0.431,-0.3276,0.479,816,0.2843,0.11,1.169,0.6505,816,14.5
vcp_shape,"{""vcp.min_contractions"": 3, ""vcp.final_depth_max"": 0.1, ""vcp",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.1, ""vcp.min_contractions"": 3, ""vcp.vdu_ratio_max"": 0.7}",0.7501,0.044,0.49,-0.214,0.465,520,0.2538,0.127,1.24,0.383,520,12.1
vcp_shape,"{""vcp.min_contractions"": 3, ""vcp.final_depth_max"": 0.1, ""vcp",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.1, ""vcp.min_contractions"": 3, ""vcp.vdu_ratio_max"": 0.7}",1.0292,0.056,0.551,-0.2396,0.638,649,0.2604,0.127,1.275,0.4865,649,14.6
vcp_shape,"{""vcp.min_contractions"": 3, ""vcp.final_depth_max"": 0.1, ""vcp",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.1, ""vcp.min_contractions"": 3, ""vcp.vdu_ratio_max"": 1.0}",1.0838,0.0581,0.518,-0.405,0.672,858,0.2809,0.122,1.187,0.6294,858,13.0
vcp_shape,"{""vcp.min_contractions"": 3, ""vcp.final_depth_max"": 0.1, ""vcp",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.1, ""vcp.min_contractions"": 3, ""vcp.vdu_ratio_max"": 1.0}",1.1913,0.0622,0.52,-0.3464,0.738,936,0.2821,0.134,1.215,0.7005,936,15.1
geometry,"{""vcp.swing_window"": 2, ""vcp.pivot_max_below_base_high"": 0.0",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 15, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.pivot_max_below_base_high"": 0.05, ""vcp.swing_window"": 2, ""vcp.vdu_ratio_max"": 1.0}",1.7945,0.0823,0.712,-0.2709,1.112,923,0.2644,0.125,1.288,0.6414,923,16.2
geometry,"{""vcp.swing_window"": 2, ""vcp.pivot_max_below_base_high"": 0.0",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 30, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.pivot_max_below_base_high"": 0.05, ""vcp.swing_window"": 2, ""vcp.vdu_ratio_max"": 1.0}",0.706,0.042,0.44,-0.2487,0.437,694,0.2666,0.115,1.176,0.5153,694,14.0
geometry,"{""vcp.swing_window"": 2, ""vcp.pivot_max_below_base_high"": 0.1",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 15, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.pivot_max_below_base_high"": 0.15, ""vcp.swing_window"": 2, ""vcp.vdu_ratio_max"": 1.0}",2.309,0.0965,0.788,-0.3047,1.431,974,0.2731,0.153,1.311,0.6598,974,18.5
geometry,"{""vcp.swing_window"": 2, ""vcp.pivot_max_below_base_high"": 0.1",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 30, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.pivot_max_below_base_high"": 0.15, ""vcp.swing_window"": 2, ""vcp.vdu_ratio_max"": 1.0}",0.4835,0.0308,0.333,-0.2209,0.3,719,0.2573,0.091,1.123,0.5268,719,13.7
geometry,"{""vcp.swing_window"": 3, ""vcp.pivot_max_below_base_high"": 0.0",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 15, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.pivot_max_below_base_high"": 0.05, ""vcp.swing_window"": 3, ""vcp.vdu_ratio_max"": 1.0}",1.0074,0.0551,0.528,-0.2495,0.624,767,0.2855,0.145,1.237,0.5979,767,13.6
geometry,"{""vcp.swing_window"": 3, ""vcp.pivot_max_below_base_high"": 0.0",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 30, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.pivot_max_below_base_high"": 0.05, ""vcp.swing_window"": 3, ""vcp.vdu_ratio_max"": 1.0}",0.6686,0.0402,0.411,-0.2951,0.414,664,0.2907,0.111,1.192,0.553,664,11.9
geometry,"{""vcp.swing_window"": 3, ""vcp.pivot_max_below_base_high"": 0.1",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 15, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.pivot_max_below_base_high"": 0.15, ""vcp.swing_window"": 3, ""vcp.vdu_ratio_max"": 1.0}",1.3756,0.0689,0.632,-0.3182,0.852,798,0.2932,0.159,1.272,0.6156,798,14.4
geometry,"{""vcp.swing_window"": 3, ""vcp.pivot_max_below_base_high"": 0.1",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 30, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.pivot_max_below_base_high"": 0.15, ""vcp.swing_window"": 3, ""vcp.vdu_ratio_max"": 1.0}",0.9767,0.0538,0.517,-0.3106,0.605,716,0.2863,0.134,1.231,0.5732,716,12.4
geometry,"{""vcp.swing_window"": 5, ""vcp.pivot_max_below_base_high"": 0.0",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 15, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.pivot_max_below_base_high"": 0.05, ""vcp.swing_window"": 5, ""vcp.vdu_ratio_max"": 1.0}",0.37,0.0245,0.305,-0.2028,0.229,495,0.299,0.093,1.158,0.4828,495,8.8
geometry,"{""vcp.swing_window"": 5, ""vcp.pivot_max_below_base_high"": 0.0",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 30, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.pivot_max_below_base_high"": 0.05, ""vcp.swing_window"": 5, ""vcp.vdu_ratio_max"": 1.0}",0.2404,0.0167,0.225,-0.215,0.149,484,0.2934,0.083,1.11,0.476,484,8.6
geometry,"{""vcp.swing_window"": 5, ""vcp.pivot_max_below_base_high"": 0.1",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 15, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.pivot_max_below_base_high"": 0.15, ""vcp.swing_window"": 5, ""vcp.vdu_ratio_max"": 1.0}",0.2392,0.0166,0.221,-0.2776,0.148,520,0.2865,0.078,1.097,0.4961,520,9.0
geometry,"{""vcp.swing_window"": 5, ""vcp.pivot_max_below_base_high"": 0.1",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 30, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.pivot_max_below_base_high"": 0.15, ""vcp.swing_window"": 5, ""vcp.vdu_ratio_max"": 1.0}",0.234,0.0163,0.218,-0.2775,0.145,506,0.2826,0.081,1.098,0.4861,506,8.2
exits,"{""exit.target_R"": 0.0, ""exit.trail_ma"": 20, ""exit.breakeven_",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_activation_R"": 0.0, ""exit.trail_ma"": 20, ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 15, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.pivot_max_below_base_high"": 0.15, ""vcp.swing_window"": 2, ""vcp.vdu_ratio_max"": 1.0}",0.6485,0.0392,0.361,-0.2414,0.402,1067,0.3871,0.105,1.153,0.6353,1067,1.8
exits,"{""exit.target_R"": 0.0, ""exit.trail_ma"": 20, ""exit.breakeven_",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_activation_R"": 1.0, ""exit.trail_ma"": 20, ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 15, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.pivot_max_below_base_high"": 0.15, ""vcp.swing_window"": 2, ""vcp.vdu_ratio_max"": 1.0}",0.7506,0.044,0.388,-0.229,0.465,835,0.4431,0.106,1.182,0.6828,835,1.8
exits,"{""exit.target_R"": 0.0, ""exit.trail_ma"": 20, ""exit.breakeven_",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""exit.breakeven_at_R"": 1.0, ""exit.target_R"": 0.0, ""exit.trail_activation_R"": 0.0, ""exit.trail_ma"": 20, ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 15, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.pivot_max_below_base_high"": 0.15, ""vcp.swing_window"": 2, ""vcp.vdu_ratio_max"": 1.0}",1.2561,0.0646,0.548,-0.2444,0.778,1096,0.3394,0.112,1.281,0.6237,1096,1.8
exits,"{""exit.target_R"": 0.0, ""exit.trail_ma"": 20, ""exit.breakeven_",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""exit.breakeven_at_R"": 1.0, ""exit.target_R"": 0.0, ""exit.trail_activation_R"": 1.0, ""exit.trail_ma"": 20, ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 15, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.pivot_max_below_base_high"": 0.15, ""vcp.swing_window"": 2, ""vcp.vdu_ratio_max"": 1.0}",0.8485,0.0484,0.423,-0.3153,0.526,866,0.3915,0.13,1.2,0.6733,866,1.7
exits,"{""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""exit.breakeven_",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_activation_R"": 0.0, ""exit.trail_ma"": 50, ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 15, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.pivot_max_below_base_high"": 0.15, ""vcp.swing_window"": 2, ""vcp.vdu_ratio_max"": 1.0}",1.7717,0.0816,0.612,-0.2621,1.098,553,0.349,0.285,1.428,0.7226,553,1.6
exits,"{""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""exit.breakeven_",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_activation_R"": 1.0, ""exit.trail_ma"": 50, ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 15, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.pivot_max_below_base_high"": 0.15, ""vcp.swing_window"": 2, ""vcp.vdu_ratio_max"": 1.0}",1.2532,0.0645,0.506,-0.3297,0.777,539,0.3562,0.192,1.356,0.7292,539,1.7
exits,"{""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""exit.breakeven_",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""exit.breakeven_at_R"": 1.0, ""exit.target_R"": 0.0, ""exit.trail_activation_R"": 0.0, ""exit.trail_ma"": 50, ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 15, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.pivot_max_below_base_high"": 0.15, ""vcp.swing_window"": 2, ""vcp.vdu_ratio_max"": 1.0}",0.8299,0.0476,0.392,-0.2239,0.514,673,0.2526,0.16,1.252,0.7032,673,1.7
exits,"{""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""exit.breakeven_",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""exit.breakeven_at_R"": 1.0, ""exit.target_R"": 0.0, ""exit.trail_activation_R"": 1.0, ""exit.trail_ma"": 50, ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 15, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.pivot_max_below_base_high"": 0.15, ""vcp.swing_window"": 2, ""vcp.vdu_ratio_max"": 1.0}",1.3284,0.0672,0.525,-0.2152,0.823,591,0.2724,0.222,1.461,0.7125,591,2.0
exits,"{""exit.target_R"": 0.0, ""exit.trail_ma"": 100, ""exit.breakeven",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_activation_R"": 0.0, ""exit.trail_ma"": 100, ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 15, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.pivot_max_below_base_high"": 0.15, ""vcp.swing_window"": 2, ""vcp.vdu_ratio_max"": 1.0}",1.2876,0.0658,0.502,-0.3051,0.798,355,0.3127,0.333,1.467,0.7628,355,1.5
exits,"{""exit.target_R"": 0.0, ""exit.trail_ma"": 100, ""exit.breakeven",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_activation_R"": 1.0, ""exit.trail_ma"": 100, ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 15, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.pivot_max_below_base_high"": 0.15, ""vcp.swing_window"": 2, ""vcp.vdu_ratio_max"": 1.0}",1.2683,0.0651,0.497,-0.3018,0.786,354,0.3107,0.297,1.459,0.7632,354,1.3
exits,"{""exit.target_R"": 0.0, ""exit.trail_ma"": 100, ""exit.breakeven",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""exit.breakeven_at_R"": 1.0, ""exit.target_R"": 0.0, ""exit.trail_activation_R"": 0.0, ""exit.trail_ma"": 100, ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 15, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.pivot_max_below_base_high"": 0.15, ""vcp.swing_window"": 2, ""vcp.vdu_ratio_max"": 1.0}",1.753,0.0811,0.603,-0.219,1.086,436,0.2317,0.37,1.682,0.7487,436,1.4
exits,"{""exit.target_R"": 0.0, ""exit.trail_ma"": 100, ""exit.breakeven",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""exit.breakeven_at_R"": 1.0, ""exit.target_R"": 0.0, ""exit.trail_activation_R"": 1.0, ""exit.trail_ma"": 100, ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 15, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.pivot_max_below_base_high"": 0.15, ""vcp.swing_window"": 2, ""vcp.vdu_ratio_max"": 1.0}",1.8507,0.084,0.618,-0.2189,1.147,423,0.2364,0.405,1.757,0.7509,423,1.6
exits,"{""exit.target_R"": 5.0, ""exit.trail_ma"": 20, ""exit.breakeven_",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 5.0, ""exit.trail_activation_R"": 0.0, ""exit.trail_ma"": 20, ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 15, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.pivot_max_below_base_high"": 0.15, ""vcp.swing_window"": 2, ""vcp.vdu_ratio_max"": 1.0}",0.8247,0.0474,0.424,-0.2115,0.511,1118,0.3819,0.093,1.174,0.628,1118,1.8
exits,"{""exit.target_R"": 5.0, ""exit.trail_ma"": 20, ""exit.breakeven_",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 5.0, ""exit.trail_activation_R"": 1.0, ""exit.trail_ma"": 20, ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 15, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.pivot_max_below_base_high"": 0.15, ""vcp.swing_window"": 2, ""vcp.vdu_ratio_max"": 1.0}",0.8762,0.0496,0.439,-0.2179,0.543,869,0.4476,0.119,1.203,0.6772,869,1.8
