stage,run,window,overrides,total_return,cagr,sharpe,max_drawdown,profit_multiple_vs_spy,n_trades,win_rate,avg_R,profit_factor,avg_exposure,n_triggered,elapsed_s
baseline,base,IS,{},0.0598,0.0045,0.106,-0.5324,0.037,1208,0.231,0.027,1.01,0.7676,1208,40.0
quality,"{""entry.bo_vol_mult"": 0.0, ""entry.rank_by"": ""rs"", ""tt.rs_per",IS,"{""entry.bo_vol_mult"": 0.0, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0}",0.0598,0.0045,0.106,-0.5324,0.037,1208,0.231,0.027,1.01,0.7676,1208,0.9
quality,"{""entry.bo_vol_mult"": 0.0, ""entry.rank_by"": ""rs"", ""tt.rs_per",IS,"{""entry.bo_vol_mult"": 0.0, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 85.0}",0.0626,0.0047,0.104,-0.3925,0.039,1011,0.2087,-0.019,1.015,0.6559,1011,3.3
quality,"{""entry.bo_vol_mult"": 0.0, ""entry.rank_by"": ""tightness"", ""tt",IS,"{""entry.bo_vol_mult"": 0.0, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0}",0.8427,0.0482,0.425,-0.3315,0.522,1048,0.2529,0.085,1.165,0.7719,1048,0.8
quality,"{""entry.bo_vol_mult"": 0.0, ""entry.rank_by"": ""tightness"", ""tt",IS,"{""entry.bo_vol_mult"": 0.0, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 85.0}",-0.0553,-0.0044,0.038,-0.3451,-0.034,971,0.2214,-0.01,0.985,0.6588,971,0.8
quality,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_per",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0}",1.0377,0.0563,0.466,-0.2011,0.643,947,0.2682,0.122,1.191,0.6624,947,1.4
quality,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_per",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 85.0}",0.734,0.0433,0.402,-0.3055,0.455,689,0.2511,0.114,1.162,0.4876,689,1.0
quality,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0}",1.0468,0.0567,0.497,-0.2852,0.649,875,0.2743,0.108,1.21,0.6716,875,1.3
quality,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 85.0}",0.6044,0.0371,0.358,-0.2905,0.375,674,0.2448,0.104,1.14,0.4837,674,1.0
vcp_shape,"{""vcp.min_contractions"": 2, ""vcp.final_depth_max"": 0.06, ""vc",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 0.7}",0.1727,0.0123,0.18,-0.2599,0.107,492,0.2358,0.052,1.071,0.3694,492,13.3
vcp_shape,"{""vcp.min_contractions"": 2, ""vcp.final_depth_max"": 0.06, ""vc",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 0.7}",0.2563,0.0177,0.226,-0.275,0.159,606,0.236,0.045,1.086,0.4538,606,15.2
vcp_shape,"{""vcp.min_contractions"": 2, ""vcp.final_depth_max"": 0.06, ""vc",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 1.0}",0.8215,0.0472,0.466,-0.3554,0.509,800,0.285,0.113,1.177,0.6168,800,14.3
vcp_shape,"{""vcp.min_contractions"": 2, ""vcp.final_depth_max"": 0.06, ""vc",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 1.0}",0.8379,0.048,0.45,-0.3418,0.519,857,0.287,0.108,1.177,0.6685,857,16.8
vcp_shape,"{""vcp.min_contractions"": 2, ""vcp.final_depth_max"": 0.1, ""vcp",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.1, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 0.7}",0.5811,0.0359,0.398,-0.2658,0.36,573,0.2356,0.077,1.175,0.4057,573,13.9
vcp_shape,"{""vcp.min_contractions"": 2, ""vcp.final_depth_max"": 0.1, ""vcp",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.1, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 0.7}",0.7891,0.0458,0.449,-0.2959,0.489,707,0.2475,0.095,1.193,0.5199,707,14.4
vcp_shape,"{""vcp.min_contractions"": 2, ""vcp.final_depth_max"": 0.1, ""vcp",IS,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.1, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 1.0}",1.229,0.0636,0.561,-0.3377,0.762,862,0.2865,0.136,1.224,0.6555,862,14.5
