,adr_pct,gap_pct,volvol,dollar_vol_m,price,n_trades,sum_ret,avg_ret,win
MU,7.137741291365825,4.138975320566216,0.28497594011282995,47817.35189879679,856.2899780273438,1,-0.6202222989311186,-0.6202222989311186,False
NVDA,3.3125528979092427,1.1080357275431651,0.2561321802828097,30867.11807405175,218.94000244140625,2,-0.3147333111383523,-0.15736665556917614,False
SNDK,9.193247500056104,4.270708964306378,0.32562907085284865,21334.38667990416,1264.2049560546875,3,0.4163891917826438,0.13879639726088125,True
AAPL,2.3805985537758043,0.6607358071470338,0.5738175453398366,17373.04280968986,306.18499755859375,1,0.2797974823100036,0.2797974823100036,True
MSFT,2.8371887652646968,1.1932367051561854,0.5964673641538539,16912.08523687595,502.6549987792969,5,-0.609769467075678,-0.1219538934151356,False
AMD,5.895408751475479,2.9125437465980255,0.2511794951979385,15178.72527539959,470.4700012207031,3,0.33122084753340286,0.11040694917780096,True
INTC,6.84392036690228,3.2667058997824516,0.263027042003073,13429.39634370247,97.66000366210938,1,1.0176007620082177,1.0176007620082177,True
AMZN,2.7577958750745997,1.0510777879656656,0.644845505192455,12577.345769347217,272.8902893066406,2,0.6939612043740377,0.34698060218701887,True
GOOGL,2.81815801001724,0.9529775452388694,0.4657394039302608,11811.77112671454,351.7749938964844,2,-0.09193463144530942,-0.04596731572265471,False
META,3.188282137594861,1.1835578174035237,0.42178309586354845,10965.237376235269,606.8049926757812,1,0.7284386026243709,0.7284386026243709,True
MRVL,8.042879069236134,4.075621512320523,0.869489590772157,10613.67797908834,210.40499877929688,4,-1.7647974556462978,-0.44119936391157444,False
AVGO,3.689196255478846,2.059101416200043,0.4687363573748336,10348.259681543996,421.82000732421875,2,-0.365587523503432,-0.182793761751716,False
GOOG,2.7653113825874494,0.934291044021192,0.5091129164134491,8018.925761911829,350.114990234375,4,0.5096781636593585,0.12741954091483962,True
PLTR,4.740590105385868,1.7171300435456223,0.529558788618677,5902.0677572661025,174.97999572753906,2,-0.535030419280619,-0.2675152096403095,False
AMAT,5.750068407986888,3.1953352422198016,0.4433119553106433,5215.5041745835715,530.9398803710938,2,-1.031611830705599,-0.5158059153527995,False
WDC,7.29518580731916,4.0175856759178,0.427949164701386,4746.549936916933,441.1400146484375,6,-1.9291815200255669,-0.3215302533375945,False
ORCL,5.112671533428222,1.6048793449490446,0.400439005266087,5019.703681552983,145.2404022216797,5,1.1959452434485751,0.23918904868971502,True
STX,7.2252566552433155,3.656508866807255,0.3753759189851884,4103.631442768514,816.76123046875,2,-0.9154696873219659,-0.45773484366098294,False
LITE,8.54851834885933,2.8618593035224476,0.303788246514691,4413.862542378942,812.3300170898438,3,2.409764154648832,0.8032547182162774,True
LLY,3.0977164889631412,0.9267380809323376,0.3654142745121716,3438.7012622324746,1223.050048828125,1,-0.2048890386747688,-0.2048890386747688,False
QCOM,5.80792015316667,2.1574451908945633,0.4469685015922823,3669.4842859793566,163.14999389648438,3,-0.5946397885257804,-0.19821326284192678,False
GEV,4.581111488657543,1.9504698463628927,0.33293383014630634,2916.650517862742,1013.1099853515625,3,-0.7292780367886638,-0.24309267892955458,False
DELL,6.961225583861516,2.576132872822077,0.6940837736346418,3467.2419978106,444.1199951171875,1,-0.3103005296292182,-0.3103005296292182,False
APP,5.798233584699399,1.8082460113356722,0.41950305055004505,2736.4720391814058,326.0199890136719,2,0.9548025444749916,0.4774012722374958,True
GLW,6.902684426660342,2.980715309337674,0.5312881902991214,2668.470724441685,159.39500427246094,1,-0.5299509779988377,-0.5299509779988377,False
ARM,8.43043613901568,3.3729669260964315,0.5851542910306007,3077.9722688572233,269.6549987792969,2,0.18934698697159924,0.09467349348579962,True
CSCO,3.1714912518111085,0.8104844691211368,0.34193444288947766,2792.8746573699873,121.70999908447266,1,-0.228396416421509,-0.228396416421509,False
TXN,3.794945240902349,1.9761929211646139,0.47179447797777185,2558.685782266578,282.9049987792969,2,-0.49028687394280424,-0.24514343697140212,False
WMT,2.2166687024588763,0.8979150178057997,0.32234810269800934,2769.762932406723,112.41500091552734,1,-0.1108822077694922,-0.1108822077694922,False
NOW,5.345669011390316,2.5401780032915675,0.45442133147210695,2964.3724145928386,127.66390228271484,7,-0.38364846535298125,-0.054806923621854464,False
UNH,2.5122590359153523,0.6492721537244658,0.40498056808476085,2491.142414885208,404.9549865722656,1,-0.108540733424245,-0.108540733424245,False
CRM,3.907812430803545,1.8391803152166537,0.495166397607021,2575.1007608788677,198.2899932861328,3,-1.0815515129540376,-0.3605171709846792,False
BRK-B,1.4174538384457769,0.31692932028823273,0.2875529518722384,2370.7707502774174,522.1599731445312,2,0.00857868353256809,0.004289341766284045,True
GS,2.898042393790447,1.0300829834644465,0.3187561890502703,2245.1945097144167,1036.7099609375,2,0.0573009768138355,0.02865048840691775,True
PANW,4.736762897404819,1.1225547065004455,0.3893934083831941,2352.441748267218,383.1474914550781,3,0.625215203370129,0.208405067790043,True
COST,1.9757360959263102,0.7052528499911197,0.477891666816316,2311.4197241536685,938.4650268554688,1,-0.1557432919413122,-0.1557432919413122,False
RKLB,8.052804737413728,2.644904013391326,0.4145744237620341,2484.8969763686373,78.625,1,-0.3330869588435337,-0.3330869588435337,False
MSTR,6.194451884955477,2.3771333826656615,0.48030742707109153,2240.3344648120515,96.5999984741211,2,0.36646620354837656,0.18323310177418828,True
COHR,8.523654812228179,3.1899283367809512,0.34666336950189,1981.8653070844337,329.2200012207031,4,0.14094962621367785,0.03523740655341946,True
VRT,5.6767536610865115,2.6621248265120827,0.5695641038528587,1907.1555909403255,278.7950134277344,1,-0.3213979720887287,-0.3213979720887287,False
MA,2.088832685377436,0.5643118520614135,0.358135185620167,1831.4364444937084,565.5900268554688,1,-0.1148516605614577,-0.1148516605614577,False
