timeframe,require_above_vwap,momentum_mode,momentum_lookback,momentum_min_gain_atr,hod_dist_atr,hod_day_gain_atr,relvol_min,pullback_def,min_pullback_bars,max_pullback_bars,pullback_hold_ema,max_retrace_atr,market_filter,in_play_filter,in_play_gain_adr,in_play_relvol,rsi_filter,rsi_min,rsi_max,macd_filter,macd_rising,stop_mode,stop_atr_mult,stop_pct,stop_cap_pct,target_mode,target_rr,target_pct,trail_mode,trail_atr_mult,trail_pct,trail_activate_rr,entry_start_min,entry_end_min,eod_exit_min,intrabar,sizing_mode,risk_per_trade_pct,pos_leverage_cap,max_concurrent,train_ret,train_pf,train_n,val_ret,val_pf,val_n,robust,combo_score
15m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.4,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-6.312572492117708,0.7712553987308987,37,3.2678587231509626,3.138831644331249,8,False,-6.312572492117708
5m,True,either,4,1.0,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.4,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,14.774771571173018,1.3898017517748036,66,-3.187057047397046,0.8823914046972018,22,False,-6.374114094794092
5m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,20.201842591971307,1.3268229861669776,119,-3.338513678362953,0.8285509744601891,40,False,-6.677027356725906
15m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.5,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-6.696623638113641,0.719748537013659,35,4.0367596318743315,3.819567474278344,7,False,-6.696623638113641
5m,True,either,4,1.0,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.4,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,10.0257072851623,1.3339071953708888,67,-3.3523349423189686,0.9328134586734771,22,False,-6.704669884637937
5m,True,either,4,1.0,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,9.406018432949036,1.3330195968747447,70,-3.357865300379781,0.9166123896963162,24,False,-6.715730600759562
15m,True,either,4,1.0,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-7.3014301057400255,0.6053723119291234,27,1.5931388068174401,2.266188300364244,5,False,-7.3014301057400255
15m,True,either,4,1.0,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.4,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-7.3014301057400255,0.6053723119291234,27,1.5931388068174401,2.266188300364244,5,False,-7.3014301057400255
15m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.5,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,pct,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-7.539532329087839,0.4954784681897002,35,2.5127544095366883,2.76238031447421,7,False,-7.539532329087839
15m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.5,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,pct,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-7.539532329087839,0.4954784681897002,35,2.715337295372966,2.820762052299811,7,False,-7.539532329087839
15m,True,either,4,1.0,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.5,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-7.6664833927420295,0.5587172458903434,25,1.5931388068174401,2.266188300364244,5,False,-7.6664833927420295
15m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-7.667794465665079,0.6776314785674686,36,5.878107940135435,6.115460800284878,8,False,-7.667794465665079
15m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.4,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-7.667794465665079,0.6776314785674686,36,4.393205200335326,5.231281809021679,7,False,-7.667794465665079
15m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.5,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,pct,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-7.847311716522965,0.47472808860997684,34,3.629872247241739,5.381983775340446,6,False,-7.847311716522965
15m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.5,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,pct,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-7.847311716522965,0.47472808860997684,34,3.8346627506245845,5.495729722669704,6,False,-7.847311716522965
15m,True,either,4,1.0,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-7.94216472775685,0.5887686965656345,27,0.7939756355540117,1.791822584895135,5,False,-7.94216472775685
15m,True,either,4,1.0,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.4,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-7.94216472775685,0.5887686965656345,27,0.7939756355540117,1.791822584895135,5,False,-7.94216472775685
15m,True,either,4,1.0,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.5,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-8.032739979399006,0.5607036255264918,25,0.7939756355540117,1.791822584895135,5,False,-8.032739979399006
15m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.5,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-8.039250579650737,0.6306626415144787,34,5.170485094927435,7.441716141572241,6,False,-8.039250579650737
15m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-8.055781324018053,0.6999644025465455,37,3.2990765108551035,3.0341543705914096,9,False,-8.055781324018053
15m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.4,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-8.055781324018053,0.6999644025465455,37,2.1525033205235466,2.6155275106484077,8,False,-8.055781324018053
5m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.4,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,14.690555703288343,1.2768409513478367,114,-4.044326336055947,0.7878248102783637,36,False,-8.088652672111895
15m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.5,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-8.161155480662362,0.6644033011946385,35,2.913099633865235,3.1827714703320265,7,False,-8.161155480662362
15m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,pct,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-8.374555792067417,0.47414958522064904,36,3.259778116948353,4.022538546850293,8,False,-8.374555792067417
15m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,pct,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-8.374555792067417,0.47414958522064904,36,3.4638372504896875,4.1024982085457165,8,False,-8.374555792067417
15m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.4,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,pct,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-8.374555792067417,0.47414958522064904,36,2.863978507147036,3.7833576670716633,7,False,-8.374555792067417
15m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.4,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,pct,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-8.374555792067417,0.47414958522064904,36,3.0672554723851997,3.8633173287670863,7,False,-8.374555792067417
15m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,pct,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-8.466113843009337,0.4777897027844096,37,2.1466498504510545,2.4135712321254563,9,False,-8.466113843009337
15m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,pct,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-8.466113843009337,0.4777897027844096,37,2.34850925052672,2.4615479853500264,9,False,-8.466113843009337
15m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.4,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,pct,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-8.466113843009337,0.4777897027844096,37,1.7551169139040423,2.270059843984707,8,False,-8.466113843009337
15m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.4,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,pct,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-8.466113843009337,0.4777897027844096,37,1.9562025773588898,2.318036597209277,8,False,-8.466113843009337
5m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,21.57024690797624,1.3617122395475472,118,-4.397435524288884,0.8073192022253263,41,False,-8.794871048577768
5m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,9.30463471921561,1.2042001026950275,125,-4.451219004319984,0.7958569181308757,41,False,-8.902438008639969
15m,True,either,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.5,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-8.995154142264905,0.44056757025315807,24,2.700235267187101,4.4152460110287866,4,False,-8.995154142264905
15m,True,either,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.5,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-9.087326986357237,0.4668312804996868,24,1.8923633314484434,3.4910327262557783,4,False,-9.087326986357237
15m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-9.117082373246333,0.6255248440263039,36,4.424763179342461,5.0568231632634175,8,False,-9.117082373246333
15m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.4,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-9.117082373246333,0.6255248440263039,36,3.2656953743599892,4.359125635859307,7,False,-9.117082373246333
5m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.4,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,11.07610567343238,1.2506391817655533,119,-4.582041957689764,0.767992883142238,35,False,-9.164083915379528
15m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.5,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-9.214269949251019,0.5936227266884403,34,4.034580175449554,6.201037679058275,6,False,-9.214269949251019
5m,True,either,4,1.0,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.5,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,pct,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-1.1583374337045371,0.9815424300996934,63,-4.7386890714609,0.6546632162121061,18,False,-9.4773781429218
5m,True,either,4,1.0,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.5,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,pct,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-1.6762783977312457,0.9589007087004188,63,-4.7386890714609,0.6546632162121061,18,False,-9.4773781429218
5m,True,either,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.5,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,pct,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-1.1583374337045371,0.9815424300996934,63,-4.7386890714609,0.6546632162121061,18,False,-9.4773781429218
5m,True,either,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.5,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,pct,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-1.6762783977312457,0.9589007087004188,63,-4.7386890714609,0.6546632162121061,18,False,-9.4773781429218
15m,True,either,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-9.942400157457898,0.40701695107750224,25,2.700235267187101,4.4152460110287866,4,False,-9.942400157457898
15m,True,either,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.4,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-9.942400157457898,0.40701695107750224,25,2.700235267187101,4.4152460110287866,4,False,-9.942400157457898
15m,True,either,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-10.033613598142054,0.43128059640750815,25,1.8923633314484434,3.4910327262557783,4,False,-10.033613598142054
15m,True,either,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.4,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-10.033613598142054,0.43128059640750815,25,1.8923633314484434,3.4910327262557783,4,False,-10.033613598142054
5m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,10.558571560459672,1.2348000647276296,126,-5.4979512179261665,0.7742054659704851,42,False,-10.995902435852333
5m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.4,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,7.442958018948453,1.1875721009017761,120,-5.627341012252551,0.7443833644963818,36,False,-11.254682024505103
