stage,run,window,overrides,total_return,cagr,sharpe,max_drawdown,profit_multiple_vs_spy,n_trades,win_rate,avg_R,profit_factor,avg_exposure,n_triggered,elapsed_s
quality,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt",IS2010,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 85.0}",0.1842,0.0245,0.25,-0.2901,0.144,441,0.2404,0.068,1.076,0.5801,441,0.7
vcp_shape,"{""vcp.min_contractions"": 2, ""vcp.final_depth_max"": 0.06, ""vc",IS2004,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 0.7}",0.1668,0.0261,0.36,-0.1071,1.29,167,0.2575,0.105,1.229,0.2607,167,6.1
vcp_shape,"{""vcp.min_contractions"": 2, ""vcp.final_depth_max"": 0.06, ""vc",IS2010,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 0.7}",0.0712,0.0099,0.147,-0.2072,0.056,334,0.2305,0.028,1.046,0.4619,334,8.6
vcp_shape,"{""vcp.min_contractions"": 2, ""vcp.final_depth_max"": 0.06, ""vc",IS2004,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 0.7}",0.123,0.0195,0.265,-0.1428,0.951,207,0.2415,0.069,1.149,0.3277,207,6.5
vcp_shape,"{""vcp.min_contractions"": 2, ""vcp.final_depth_max"": 0.06, ""vc",IS2010,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 0.7}",0.291,0.0372,0.39,-0.2455,0.228,408,0.2525,0.074,1.149,0.5562,408,9.8
vcp_shape,"{""vcp.min_contractions"": 2, ""vcp.final_depth_max"": 0.06, ""vc",IS2004,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 1.0}",0.541,0.0748,0.721,-0.1201,4.183,296,0.3074,0.171,1.414,0.4941,296,6.1
vcp_shape,"{""vcp.min_contractions"": 2, ""vcp.final_depth_max"": 0.06, ""vc",IS2010,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 1.0}",0.2109,0.0278,0.274,-0.4308,0.165,530,0.2604,0.079,1.072,0.7131,530,9.5
vcp_shape,"{""vcp.min_contractions"": 2, ""vcp.final_depth_max"": 0.06, ""vc",IS2004,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 1.0}",0.87,0.11,0.996,-0.1269,6.727,318,0.3208,0.269,1.607,0.5443,318,7.6
vcp_shape,"{""vcp.min_contractions"": 2, ""vcp.final_depth_max"": 0.06, ""vc",IS2010,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 1.0}",0.3051,0.0388,0.345,-0.4458,0.239,571,0.2697,0.083,1.104,0.7687,571,11.2
vcp_shape,"{""vcp.min_contractions"": 2, ""vcp.final_depth_max"": 0.1, ""vcp",IS2004,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.1, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 0.7}",0.4944,0.0693,0.742,-0.1222,3.823,213,0.2723,0.2,1.562,0.3031,213,6.2
