top_k,gap_min,move_min,rv_min,picks,total_return_pct,profit_factor,win_rate,n_trades,max_dd_pct
5,0.02,0.015,1.5,100,2.733161637714465,1.0692197171782645,40.0,45,-7.144692237591495
5,0.03,0.02,2.0,90,4.210749052437923,1.1360626199267596,40.0,40,-5.674032965574152
8,0.02,0.015,1.5,160,-5.743900172210914,0.8251637264846141,32.758620689655174,58,-10.412276716609552
8,0.03,0.02,2.0,136,-5.189497731890135,0.8386971863467308,31.666666666666668,60,-12.089589461154567
12,0.02,0.015,1.5,230,-7.098078030126532,0.8353313397470995,32.05128205128205,78,-15.042428761999258
12,0.03,0.02,2.0,169,-6.4005630116595436,0.8275508128333326,30.88235294117647,68,-12.783514526107451
