engine,filter,full_ret,full_pf,full_n,full_dd,train_ret,train_pf,val_ret,val_pf,val_n
5m+15m prod,none,6.2442072284388805,1.2349367521370689,66,-12.168001865968431,1.968925017962797,1.1720130205186479,4.192730490904895,1.4401555932232464,18
5m+15m prod,spy,-4.1336676080752195,0.9683943259862949,47,-15.538427569784439,-6.610045703319645,0.8060299632103495,2.6516536108128763,1.6779763756385209,12
5m+15m prod,qqq,-3.681881367989559,1.0119918577798668,42,-15.663369607050315,-9.122687223067027,0.7520868750024772,5.986979245779911,2.6396724440238053,10
5m+15m prod,sect,-4.873235057472192,0.9894919413069391,48,-15.730417547454941,-8.346787755698848,0.8094186845344583,3.7898864787934805,1.7182339578754096,13
5m+15m prod,spy+sect,-5.697897713677824,0.9424149084510672,40,-15.48137936865485,-9.619684962716024,0.705283018339444,4.339205110560163,1.9419491048034163,11
5m+15m prod,qqq+sect,-1.0926580770237448,1.1476057116721996,35,-14.796936401992253,-8.189058252956249,0.79824203052192,7.7293621445300165,3.3576709675298777,9
1m curated,none,10.801141461065278,1.3120467336451567,56,-5.760432612635407,10.100063182229668,1.467874698549693,0.6367646471512112,1.0707739778517384,24
1m curated,spy,10.201179602184563,1.4690366358998634,46,-4.023846874628209,10.883353312315581,1.9215704841834498,-0.6152174242147979,0.9674559781927542,21
1m curated,qqq,7.852360280177573,1.3068122404994789,46,-7.022382384277444,6.289385103211553,1.4276423561040221,1.470490374413469,1.1456145571578278,22
1m curated,sect,2.703862867430318,1.0805984077041635,44,-5.978729501874227,7.12340468365511,1.381724715000193,-4.125654733693418,0.6560896888263024,20
1m curated,spy+sect,6.432129181452528,1.3576580544556904,41,-3.775584597768529,10.608236731344522,2.0527539546951807,-3.775584597768533,0.6770283382767084,19
1m curated,qqq+sect,2.0225780335026977,1.109336465430891,40,-6.396331104140645,6.025666778056382,1.46590411836698,-3.775584597768533,0.6770283382767084,19
