score,total_return_pct,ann_return_pct,n_trades,win_rate,profit_factor,expectancy_pct,max_dd_pct,sharpe,avg_bars_held,timeframe,require_above_vwap,momentum_mode,momentum_lookback,momentum_min_gain_atr,hod_dist_atr,hod_day_gain_atr,relvol_min,pullback_def,min_pullback_bars,max_pullback_bars,pullback_hold_ema,market_filter,rsi_filter,rsi_min,rsi_max,macd_filter,macd_rising,stop_mode,stop_atr_mult,stop_pct,stop_cap_pct,target_mode,target_rr,target_pct,trail_mode,trail_atr_mult,trail_pct,trail_activate_rr,entry_start_min,entry_end_min,eod_exit_min,sizing_mode,risk_per_trade_pct,pos_leverage_cap,max_concurrent
-1.474972589841224,2.3507677343366895,11.18358287517134,51,50.98039215686274,1.12770440156878,0.055242312135365144,-7.651480648355827,0.8280954017484379,2.1176470588235294,30m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,2,True,True,True,50.0,80.0,True,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-1.5151194569375637,2.0490882973561275,9.696217208598945,60,50.0,1.099013535099507,0.04084916611546258,-7.128415508587382,0.6843472326737716,2.3,30m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,3,True,True,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-1.5771365852849812,1.9856860935346887,9.385611724007003,57,47.36842105263158,1.0776861267062319,0.032816625643523466,-7.12564535763934,0.6897717874709246,2.210526315789474,30m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,2,False,True,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-1.7562298825843148,1.8065927962353623,8.511947335558357,57,49.12280701754386,1.1415044234383864,0.057875334687395565,-7.125645357639354,0.6148784042655753,2.210526315789474,30m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,3,False,True,False,50.0,80.0,True,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-1.7624912322099906,2.5831179858961884,12.339832451934063,49,48.97959183673469,1.2691125411823532,0.10453189587550048,-7.691218436212358,0.9439429648980858,2.061224489795918,30m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,2,False,True,True,50.0,80.0,True,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-1.8088541937799567,1.0263124521861178,4.830707775429022,53,41.509433962264154,1.1472513090813587,0.06263475628666788,-5.670333291932149,-0.39132689529911485,5.528301886792453,15m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,2,True,False,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-1.8088541937799567,1.0263124521861178,4.830707775429022,53,41.509433962264154,1.1472513090813587,0.06263475628666788,-5.670333291932149,-0.39132689529911485,5.528301886792453,15m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,2,True,False,False,50.0,80.0,True,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-1.8840380403421877,1.9417022838357223,9.170540124280823,52,51.92307692307692,1.0643417736321208,0.027297686513046596,-7.65148064835582,0.7327067364221991,2.1923076923076925,30m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,2,True,True,True,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-2.126598260143221,1.6991420640346977,7.990395587691679,55,50.90909090909091,1.084388029256248,0.035804914271822204,-7.651480648355838,0.6030361136200486,2.1636363636363636,30m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,3,True,True,True,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-2.3914771558930705,1.9541320622131098,9.23128563161313,49,51.02040816326531,1.2346153979191805,0.0910095948931185,-7.691218436212361,0.7263846479022089,2.1020408163265305,30m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,3,True,True,True,50.0,80.0,True,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
