n_trades,win_rate,profit_factor,expectancy_pct,avg_win_pct,avg_loss_pct,total_return_pct,ann_return_pct,max_dd_pct,sharpe,avg_bars_held,score,timeframe,require_above_vwap,momentum_mode,momentum_lookback,momentum_min_gain_atr,hod_dist_atr,hod_day_gain_atr,relvol_min,pullback_def,min_pullback_bars,max_pullback_bars,pullback_hold_ema,max_retrace_atr,market_filter,in_play_filter,in_play_gain_adr,in_play_relvol,rsi_filter,rsi_min,rsi_max,macd_filter,macd_rising,stop_mode,stop_atr_mult,stop_pct,stop_cap_pct,target_mode,target_rr,target_pct,trail_mode,trail_atr_mult,trail_pct,trail_activate_rr,entry_start_min,entry_end_min,eod_exit_min,intrabar,sizing_mode,risk_per_trade_pct,pos_leverage_cap,max_concurrent
55,36.36363636363637,1.3437213593710886,0.07839109500621502,0.8427565269058416,-0.3583891517935716,9.560621272294023,279.2761203038632,-4.068486230761072,4.060332995674236,19.254545454545454,7.526378156913488,1m,True,surge,4,1.5,1.0,2.0,1.7,lower_high,1,2,False,99.0,False,True,0.3,1.2,False,50.0,80.0,True,False,pullback_low,1.0,0.5,1.5,rr,3.0,1.0,none,1.5,0.4,1.0,575,930,955,pessimistic,risk,1.0,2.0,4
53,35.84905660377358,1.3498642451299963,0.07817153254126614,0.8413204153452162,-0.34829401961388246,9.162161791103852,259.6276402623833,-4.068486230761057,4.051651991358467,16.056603773584907,7.127918675723324,1m,True,surge,4,1.5,1.0,2.0,1.7,lower_high,1,2,False,99.0,False,True,0.3,1.2,True,50.0,80.0,True,False,pullback_low,1.0,0.5,1.5,rr,3.0,1.0,none,1.5,0.4,1.0,575,930,955,pessimistic,risk,1.0,2.0,4
74,43.24324324324324,1.1982637101050009,0.061589264162899685,0.8607874662102091,-0.5473236516826694,8.722792282586722,239.06325430863765,-9.991821804085294,2.7810008474241195,44.82432432432432,3.726881380544075,1m,True,surge,4,1.5,1.0,2.0,1.7,red_or_lh,1,2,False,99.0,False,True,0.3,1.2,True,50.0,80.0,True,False,pct,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,pessimistic,risk,1.0,2.0,4
67,35.82089552238806,1.2094682727123935,0.04824188372044408,0.7776139576245201,-0.35884950636555185,7.653656435667888,193.5082162159194,-5.636168190238881,2.938579239185965,18.65671641791045,4.835572340548447,1m,True,surge,4,1.5,1.0,2.0,1.7,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,True,False,pullback_low,1.0,0.5,1.5,rr,3.0,1.0,none,1.5,0.4,1.0,575,930,955,pessimistic,risk,1.0,2.0,4
129,41.08527131782946,1.098954894317309,0.03177716935978919,0.8589574237185427,-0.5450722185482891,7.157555566571627,174.3676176835205,-5.3135296477022935,3.2899852813575294,36.093023255813954,4.500790742720481,1m,True,surge,4,1.5,1.0,2.0,1.3,red_or_lh,1,2,False,99.0,False,True,0.3,1.2,True,50.0,80.0,True,False,pct,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,pessimistic,risk,1.0,2.0,4
59,33.898305084745765,1.23447023883803,0.05426092715976002,0.8427565269058416,-0.35009579065874347,7.148067818427628,174.01315983332236,-4.560416307780286,3.0671533590090267,19.016949152542374,4.867859664537486,1m,True,surge,4,1.5,1.0,2.0,1.7,lower_high,1,2,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,3.0,1.0,none,1.5,0.4,1.0,575,930,955,pessimistic,risk,1.0,2.0,4
120,34.166666666666664,1.107205182993373,0.02479331105037048,0.7494527300406327,-0.3512957545015378,6.919119186330014,165.58799230965016,-8.89397702252393,1.9398489301929922,19.666666666666668,2.4721306750680485,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,True,False,pullback_low,1.0,0.5,1.5,rr,3.0,1.0,none,1.5,0.4,1.0,575,930,955,pessimistic,risk,1.0,2.0,4
101,31.683168316831683,1.1194442713341322,0.029209823675347718,0.8640472327849935,-0.35796114866535755,6.916450605945612,165.49122860177908,-9.929662401319163,1.9700820293696821,19.91089108910891,1.9516194052860305,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,2,False,99.0,False,True,0.3,1.2,False,50.0,80.0,True,False,pullback_low,1.0,0.5,1.5,rr,3.0,1.0,none,1.5,0.4,1.0,575,930,955,pessimistic,risk,1.0,2.0,4
57,33.333333333333336,1.2341684242175144,0.05321010003107228,0.8413204153452162,-0.3408450576259998,6.758382518931616,159.81784983654532,-4.560416307780281,3.042206528670422,16.035087719298247,4.478174365041475,1m,True,surge,4,1.5,1.0,2.0,1.7,lower_high,1,2,False,99.0,False,True,0.3,1.2,True,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,3.0,1.0,none,1.5,0.4,1.0,575,930,955,pessimistic,risk,1.0,2.0,4
26,34.61538461538461,1.3608146681762916,0.13216512050070317,1.4400000000000008,-0.5602180509989251,6.60800554861638,204.09796403172257,-3.3225084927999826,3.5246620613838346,39.38461538461539,-7.053248697783611,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.5,1.5,False,50.0,80.0,False,False,pct,1.0,0.5,1.5,rr,3.0,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
97,29.896907216494846,1.1216742046418853,0.029209639793267645,0.900675095263133,-0.3424447456277043,6.106831158923254,137.60349928896778,-10.913640759469288,1.777876059633136,14.68041237113402,0.6500107791886096,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,2,False,99.0,False,True,0.3,1.2,True,50.0,80.0,True,False,pullback_low,1.0,0.5,1.5,rr,3.0,1.0,none,1.5,0.4,1.0,575,930,955,pessimistic,risk,1.0,2.0,4
35,34.285714285714285,1.246449018271754,0.09069323872400521,1.3378552796116796,-0.5599999999999987,5.938787595325512,140.46106553479635,-5.431502594148502,2.1182758598554687,40.6,-4.276963701748739,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,True,False,pct,1.0,0.5,1.5,rr,3.0,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
64,34.375,1.163093671760456,0.03753423778604499,0.7786861975510274,-0.3506882173289459,5.861383037130308,129.70393139928862,-6.420553268662839,2.3720744942979657,15.9375,2.6511064027988884,1m,True,surge,4,1.5,1.0,2.0,1.7,lower_high,1,3,False,99.0,False,True,0.3,1.2,True,50.0,80.0,True,False,pullback_low,1.0,0.5,1.5,rr,3.0,1.0,none,1.5,0.4,1.0,575,930,955,pessimistic,risk,1.0,2.0,4
77,41.55844155844156,1.1138192993707443,0.036462963566393655,0.8586012989151384,-0.5481687415704913,4.966117074375065,102.91648336668149,-9.99182180408529,1.8965521729514316,45.38961038961039,-0.02979382766758043,1m,True,surge,4,1.5,1.0,2.0,1.7,red_or_lh,1,2,False,99.0,False,True,0.3,1.2,False,50.0,80.0,True,False,pct,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,pessimistic,risk,1.0,2.0,4
139,40.28776978417266,1.0661422985918212,0.021577373002969844,0.8632989903050498,-0.5463311880683129,4.72462434575498,96.20616236786377,-3.322508492799977,3.3859931086859256,36.35251798561151,3.0633700993549913,1m,True,surge,4,1.5,1.0,2.0,1.3,red_or_lh,1,2,False,99.0,False,True,0.3,1.2,True,50.0,80.0,False,False,pct,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,pessimistic,risk,1.0,2.0,4
72,33.333333333333336,1.108811876072688,0.025436726588561227,0.7776139576245201,-0.3506518889294183,4.671091853897069,94.746927610957,-6.197365377961033,1.8203879279401358,18.23611111111111,1.5724091649165528,1m,True,surge,4,1.5,1.0,2.0,1.7,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,3.0,1.0,none,1.5,0.4,1.0,575,930,955,pessimistic,risk,1.0,2.0,4
78,41.02564102564103,1.0918678810935984,0.0297128916417252,0.8607874662102091,-0.5484259428406985,3.933231030704154,75.63645317662645,-9.991821804085296,1.8840121035137614,45.5,-1.062679871338494,1m,True,surge,4,1.5,1.0,2.0,1.7,red_or_lh,1,2,False,99.0,False,True,0.3,1.2,True,50.0,80.0,False,False,pct,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,pessimistic,risk,1.0,2.0,4
