score,total_return_pct,ann_return_pct,n_trades,win_rate,profit_factor,expectancy_pct,max_dd_pct,sharpe,avg_bars_held,timeframe,require_above_vwap,momentum_mode,momentum_lookback,momentum_min_gain_atr,hod_dist_atr,hod_day_gain_atr,relvol_min,pullback_def,min_pullback_bars,max_pullback_bars,rsi_filter,rsi_min,rsi_max,macd_filter,macd_rising,stop_mode,stop_atr_mult,stop_pct,stop_cap_pct,target_mode,target_rr,target_pct,trail_mode,trail_atr_mult,trail_pct,trail_activate_rr,entry_start_min,entry_end_min,eod_exit_min
-51.355992117048885,-0.7403177517492976,-3.292970793310457,43,58.13953488372093,0.8148078289465606,-0.0683290954334538,-1.2313487305991704,-1.9572694171624792,3.0697674418604652,15m,True,hod,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,930,955
-51.53923248166919,-0.8659396349316117,-3.890358732614496,14,42.857142857142854,0.4922238788115415,-0.2475454471098301,-1.3465856934751492,-3.9477988599166234,2.142857142857143,30m,True,surge,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,930,955
-51.72184883449627,-1.030138640334466,-4.6145212912583,14,42.857142857142854,0.4487461310384376,-0.2947788234404136,-1.3834203883236027,-4.599475813835951,2.0714285714285716,30m,True,surge,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,930,955
-51.7492985444596,-1.122277884831313,-5.144335028349523,34,44.11764705882353,0.6238807641570273,-0.13215256696278693,-1.2540413192565758,-3.317202009181216,3.7941176470588234,15m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,930,955
-51.756862340550136,-1.083569493812564,-6.517899924850168,7,28.571428571428573,0.23269445729433305,-0.6210011413864036,-1.3465856934751381,-15.63573410882147,2.2857142857142856,30m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,930,955
-51.81221258643317,-1.1205023922713608,-6.733621598958505,7,28.571428571428573,0.2267386180651089,-0.6422600778343724,-1.383420388323617,-15.49656941504303,2.4285714285714284,30m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,930,955
-52.02572648617115,-0.9273879725064882,-4.111553682944891,42,35.714285714285715,0.8279687976597949,-0.0871814479148693,-2.1966770273293323,-1.4073488943586165,5.404761904761905,15m,True,hod,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-52.2932287149022,-1.442243924713038,-6.336650134516142,54,46.2962962962963,0.6744461680816288,-0.10702786760005745,-1.7019695803783212,-4.052125614536454,3.462962962962963,15m,True,either,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,930,955
-52.380732943441224,-1.3941949400097076,-6.690811930566243,16,43.75,0.3928324589851132,-0.3498754977687944,-1.9730760068630386,-5.968029008462529,2.25,30m,True,hod,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,930,955
-52.4820202546233,-1.495482251191771,-6.643689335970282,17,41.1764705882353,0.37607300944810357,-0.3534638614624001,-1.9730760068630628,-5.0696315168313495,2.235294117647059,30m,True,either,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,930,955
-52.541201477437085,-1.5433934224254209,-7.3851251314286825,16,37.5,0.3513230790968806,-0.38768158019047766,-1.9956161100233345,-6.775134987840461,2.0,30m,True,hod,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,930,955
-52.63549455838735,-1.5850817798127803,-6.946786008828642,52,34.61538461538461,0.7684329828188157,-0.12137171807379743,-2.100825557149137,-2.352606183750498,6.730769230769231,15m,True,either,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-52.64233553280311,-1.6445274777914465,-7.286433167109585,17,35.294117647058826,0.3368493141705011,-0.38904605668280784,-1.9956161100233276,-5.778926086153798,2.0,30m,True,either,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,930,955
-52.65244952051094,-1.6389974779302263,-7.176282690029745,43,44.18604651162791,0.5861794311908375,-0.15307986940690396,-2.0269040851614313,-5.163226727666969,3.0697674418604652,15m,True,hod,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,930,955
-52.697278689846556,-1.430863953863415,-6.070299514175382,63,41.26984126984127,0.8047312188064282,-0.0902137598947857,-2.5328294719662767,-1.7448723189301716,6.4603174603174605,15m,True,hod,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
