symbol,entry_date,year,r,pnl,win,reason,hold,n_contractions,final_depth,first_depth,tighten_ratio,vdu_ratio,base_len_days,pivot_vs_top,wait_days,regime_on
AFL,2023-11-30,2023,-0.6431563558061121,-3007.154277877553,False,trail_ma,15,3,0.03107,0.064,0.48546875,0.9704,19,0.008411233480893232,12,True
AGI,2023-11-21,2023,-0.0168713009227491,-836.4818632207173,False,stop,12,3,0.07069,0.16757,0.42185355373873606,0.9396,38,0.048648703422736306,6,True
AGM,2017-08-09,2017,-1.6496721880565477,-29034.671102525856,False,stop_gap,1,6,0.03276,0.08831,0.3709659155248556,0.6324,59,0.14984609389271997,13,True
AGM,2019-09-11,2019,-0.7001878906686844,-17974.51168969885,False,trail_ma,17,3,0.05401,0.12519,0.43142423516255296,0.9575,22,-0.00502656398630652,6,True
AGNC,2016-10-31,2016,-0.6795262481101253,-8686.453452608828,False,trail_ma,9,3,0.01639,0.05221,0.313924535529592,0.7297,32,-0.011081039569260653,6,True
AGNC,2025-11-25,2025,-0.0343952509707762,-152.17272048168792,False,stop,10,4,0.03179,0.07471,0.4255119796546647,0.9945,51,0.01875260162581438,4,True
AGO,2019-11-08,2019,-0.0608038133058609,-1720.689039759075,False,trail_ma,40,3,0.02197,0.08019,0.27397431101134806,0.8348,49,0.0372560346252826,9,True
AGYS,2024-12-17,2024,-1.0156715009227515,-56319.47210785156,False,stop,1,4,0.05782,0.18568,0.3113959500215424,0.8671,32,0.13435692730294324,2,True
AHRT,2019-08-16,2019,0.522987944907018,893.5793792793459,True,trail_ma,59,3,0.01833,0.06851,0.2675521821631878,0.9361,28,-0.021649882295050826,14,True
AIO,2024-06-12,2024,-0.0302873766753203,-1207.6698853232506,False,stop,35,3,0.01643,0.06543,0.25110805440929235,0.9852,42,0.011119041146230524,3,True
AIR,2018-07-10,2018,-1.2699863594386664,-29208.00528366386,False,stop_gap,1,3,0.0493,0.10507,0.46921100218901685,0.94,32,0.006462359488920155,2,True
AIR,2022-03-23,2022,-0.1381715416983436,-9982.290428554032,False,stop_gap,10,3,0.05205,0.11637,0.44728022686259344,0.8082,21,0.02959640672611541,3,True
AIT,2010-08-10,2010,-1.0156715009227488,-1521.600042842715,False,stop,1,6,0.05209,0.2403,0.2167707032875572,0.5564,61,-0.1170146226263441,5,True
AIZ,2015-11-20,2015,-0.560512500639625,-10978.14853848115,False,trail_ma,15,3,0.03058,0.12138,0.25193606854506506,0.7237,43,0.029002526373086646,24,True
AJG,2023-09-15,2023,-0.5660112578315191,-21012.08007632288,False,trail_ma,12,6,0.02784,0.07753,0.35908680510770025,0.7485,127,0.14799317977499182,23,True
AJG,2025-03-07,2025,-1.0190374486463996,-42141.73856556993,False,stop,1,4,0.03064,0.12399,0.2471167029599161,0.8953,54,0.04272777545048756,11,True
AJG,2025-05-30,2025,-1.032597791510002,-24515.535886473463,False,stop,4,5,0.03241,0.14112,0.22966269841269843,0.5649,38,-0.017279608566470483,1,True
AKR,2011-07-20,2011,-1.0287911046750156,-9208.42137415584,False,stop,5,4,0.03528,0.07423,0.47527953657550853,0.7729,33,0.027537412329697863,1,True
AL,2017-02-14,2017,-0.4566692680085339,-10029.750949516503,False,trail_ma,26,5,0.03279,0.0666,0.4923423423423423,0.5679,37,-0.009130082913051174,8,True
ALB,2009-09-09,2009,-0.5892578228130522,-3074.868121853271,False,trail_ma,18,3,0.07944,0.18567,0.42785587332363867,0.9731,58,0.09592782165226654,11,True
ALEX,2026-02-18,2026,-0.1088990690577648,-778.3634063521536,False,delisted,12,4,0.00627,0.05015,0.12502492522432704,0.5727,35,0.30605080667192874,28,True
ALGT,2012-02-17,2012,-1.0202067088543445,-10358.219360272307,False,stop,1,3,0.05184,0.12111,0.4280406242259103,0.7735,37,0.02518513540502565,28,True
ALGT,2012-06-08,2012,0.3298064280650845,3265.491381370915,True,trail_ma,38,5,0.0598,0.15314,0.3904923599320883,0.7753,66,0.14767113678104615,11,True
ALGT,2014-12-04,2014,5.9759298990772525,414.64749949868406,True,target,70,3,0.05174,0.17811,0.2904946381449666,0.8607,47,0.08665565395992725,6,True
ALGT,2021-02-04,2021,2.8554546092317694,153160.64123973285,True,trail_ma,51,5,0.08415,0.18938,0.4443447037701975,0.6692,56,0.10143429413950611,3,True
ALHC,2025-10-31,2025,-1.1919878769980472,-39017.12380798115,False,stop_gap,1,3,0.05387,0.13179,0.40875635480688977,0.5608,31,0.030057831254102663,7,True
ALK,2014-04-10,2014,-1.0200046923657955,-18541.40153089209,False,stop,1,3,0.0463,0.11525,0.4017353579175705,0.9545,43,0.1481951671561701,10,True
ALKS,2004-04-12,2004,-1.0156715009227493,-2164.396614753792,False,stop,18,3,0.0758,0.15449,0.490646643795715,0.6041,36,-0.02779575292524339,11,True
ALRM,2019-02-06,2019,-1.0727214703760597,-18990.63126322902,False,stop_gap,16,4,0.04065,0.22369,0.18172470830166748,0.9661,57,0.13663930895052756,2,True
ALRM,2024-02-13,2024,0.6285511473693126,4925.422313145925,True,trail_ma,36,5,0.05134,0.18277,0.28089949116375773,0.7687,81,0.05220756595336673,5,True
ALRS,2026-04-10,2026,4.496855416575621,167864.61284680368,True,end_of_test,77,3,0.03168,0.09691,0.32690124858115777,0.9288,31,-0.05637065966415411,6,True
AM,2024-07-23,2024,-0.8560420518249802,-38255.45109766781,False,trail_ma,3,6,0.02872,0.07369,0.3897408060795223,0.9625,68,0.047831904808145476,7,True
AM,2026-03-20,2026,-1.0338188155966572,-24292.27625177408,False,stop,8,5,0.03117,0.07391,0.42172913002300094,0.8373,66,0.23869747552109533,4,True
AMAT,2013-05-30,2013,-0.0282089133517138,-310.1108413482159,False,stop,5,4,0.03947,0.09449,0.41771616044025817,0.9637,33,0.07587706782372927,1,True
AME,2012-12-19,2012,2.2958849663988974,248.01396570510903,True,trail_ma,71,3,0.02781,0.0841,0.3306777645659929,0.7053,30,0.048500523151578934,12,True
AME,2026-01-21,2026,0.3925582793178134,6776.5566664749895,True,trail_ma,32,4,0.02651,0.06098,0.4347326992456543,0.7969,43,0.07087070274803398,3,True
AMG,2011-01-13,2011,-1.0182239460790845,-7263.936588561447,False,stop,7,3,0.03625,0.08089,0.4481394486339473,0.5639,42,0.10814342599753646,6,True
AMG,2024-07-29,2024,-0.1371198935496076,-8039.328618180195,False,stop_gap,4,3,0.04235,0.09874,0.42890419282965364,0.819,36,0.07038266933865334,2,True
AMGN,2014-10-10,2014,-1.0342722479719808,-14288.614547812023,False,stop,1,3,0.03073,0.06644,0.46252257676098735,0.9751,46,0.1420975489155769,22,True
AMP,2007-05-31,2007,-0.0370926591322624,-75.80450653317223,False,stop,6,6,0.02925,0.11398,0.25662396911738905,0.9346,68,-0.00558503298992008,1,True
AMRC,2020-08-25,2020,-0.0168713009227511,-569.1469673323904,False,stop,6,4,0.0768,0.17426,0.44072076207965105,0.6255,36,0.002155163048361164,2,True
AMSC,2009-12-09,2009,0.5055304580019848,2527.158344565639,True,trail_ma,30,4,0.0778,0.15759,0.4936861475981978,0.5954,34,0.005272461460830158,5,True
AMSF,2007-07-02,2007,-0.0168713009227503,-14.721329268581966,False,stop,5,3,0.077,0.15403,0.49990261637343375,0.6944,33,-0.0792179821510649,11,True
AMT,2004-06-22,2004,-0.0267581915265724,-15.83177424071323,False,stop,4,6,0.04178,0.12735,0.3280722418531606,0.7187,72,0.21142914836690396,3,True
AMT,2006-04-26,2006,-1.01567150092275,-2869.1189157517524,False,stop,15,3,0.04914,0.10343,0.4751039350285218,0.9378,37,0.008873898749002462,5,True
AMT,2013-01-02,2013,-0.3678088871172983,-4311.21317979273,False,trail_ma,21,3,0.02173,0.05353,0.4059405940594059,0.6177,31,-0.016006556997237187,20,True
AMX,2005-05-18,2005,5.967518304437751,2083.194012615656,True,target,51,3,0.0395,0.09848,0.4010966693744923,0.9504,22,-0.004493629383815034,3,True
AMX,2018-04-09,2018,-0.6300048329326698,-15199.383220220974,False,trail_ma,11,3,0.04764,0.12008,0.3967355096602265,0.8599,34,0.01035207025357554,11,True
AMZN,2011-07-27,2011,-1.0156715009227484,-12812.831134705291,False,stop,5,6,0.04594,0.16097,0.28539479406100515,0.8899,109,0.14064793252968255,4,True
AMZN,2012-12-18,2012,-1.0304504979753486,-7871.2784078974255,False,stop,6,3,0.03483,0.11155,0.3122366651725684,0.9371,38,0.018492714887444972,2,True
AMZN,2015-04-21,2015,1.630275836252999,35840.30542937378,True,trail_ma,55,5,0.04222,0.14133,0.2987334606948277,0.6852,83,0.11870710757052994,14,True
AMZN,2015-07-13,2015,1.4539887324449778,31274.619257158483,True,trail_ma,31,4,0.03703,0.08417,0.4399429725555424,0.7471,38,-0.030398751115376488,16,True
AMZN,2024-04-29,2024,-0.1637437213735292,-8706.481715521513,False,trail_ma,2,5,0.03348,0.07441,0.4499395242574923,0.9532,63,0.15356931919703265,25,True
AN,2005-05-17,2005,1.2161162542232418,2052.3569939977283,True,trail_ma,64,3,0.02682,0.06961,0.38528946990374946,0.6724,26,0.0072726955661526205,3,True
ANDE,2024-04-23,2024,-1.0192619572090074,-47779.70901680765,False,stop,2,4,0.03909,0.10818,0.3613422074320577,0.8241,31,0.025495681116055824,12,True
ANET,2016-09-14,2016,-0.0794594587007443,-386.7070796309488,False,stop_gap,21,4,0.0463,0.1803,0.2567942318358292,0.9964,45,0.07965317363487112,12,True
